#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              4942.3          2.5764e-15                       |         6.06584908e+14      2.09918538e-29                    
              4946.3          2.6084e-15                       |         6.06094372e+14      2.12869968e-29                    
              4950.3           2.618e-15                       |         6.05604628e+14      2.13999114e-29                    
              4954.4           2.647e-15                       |         6.05103462e+14      2.16728173e-29                    
              4958.4          2.6424e-15                       |         6.04615317e+14      2.16701029e-29                    
              4962.4          2.6604e-15                       |         6.04127960e+14      2.18529349e-29                    
              4966.4          2.6949e-15                       |         6.03641388e+14      2.21720240e-29                    
              4970.5          2.7144e-15                       |         6.03143464e+14      2.23693466e-29                    
              4974.5          2.7424e-15                       |         6.02658476e+14      2.26364837e-29                    
              4978.5          2.7877e-15                       |         6.02174267e+14      2.30474220e-29                    
              4982.5          2.7958e-15                       |         6.01690836e+14      2.31515467e-29                    
              4986.6           2.816e-15                       |         6.01196124e+14      2.33572125e-29                    
              4990.6          2.8328e-15                       |         6.00714261e+14      2.35342701e-29                    
              4994.6          2.8871e-15                       |         6.00233170e+14      2.40238467e-29                    
              4998.6          2.9032e-15                       |         5.99752849e+14      2.41965262e-29                    
              5002.7          2.9318e-15                       |         5.99261317e+14      2.44749919e-29                    
              5006.7          3.0057e-15                       |         5.98782549e+14      2.51320587e-29                    
              5010.7          3.0736e-15                       |         5.98304546e+14      2.57408833e-29                    
              5014.7           3.165e-15                       |         5.97827306e+14      2.65486794e-29                    
              5018.7          3.2286e-15                       |         5.97350826e+14      2.71253912e-29                    
              5022.8          3.2649e-15                       |         5.96863222e+14      2.74752056e-29                    
              5026.8          3.2816e-15                       |         5.96388277e+14      2.76597437e-29                    
              5030.8          3.2539e-15                       |         5.95914087e+14      2.74699331e-29                    
              5034.8          3.2439e-15                       |         5.95440651e+14      2.74290774e-29                    
              5038.9           3.153e-15                       |         5.94956159e+14      2.67039032e-29                    
